time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-08T00:41:49.770Z,38.8375015,-122.7845001,1.01,1.96,md,25,80,0.004653,0.04,nc,nc73108206,2018-11-08T01:05:03.896Z,"6km WNW of Cobb, CA",earthquake,0.16,0.28,0.07,7,automatic,nc,nc
2018-11-08T00:39:07.600Z,46.414,-122.377333333333,-1.09,1.36,ml,10,203,,0.2,uw,uw61503047,2018-11-08T01:22:32.770Z,"17km SSW of Morton, Washington",explosion,0.93,31.61,0.232835151863121,7,reviewed,uw,uw
2018-11-08T00:38:37.430Z,36.0805,-117.8521667,1.91,0.66,ml,9,209,0.07894,0.05,ci,ci38353672,2018-11-08T00:49:44.743Z,"10km ENE of Coso Junction, CA",earthquake,0.27,0.2,0.113,8,reviewed,ci,ci
2018-11-08T00:31:21.560Z,64.4559,-149.3994,12.8,1.6,ml,,,,0.73,ak,ak20334921,2018-11-08T00:37:31.692Z,"19km SW of North Nenana, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-08T00:14:39.514Z,58.2295,-153.0053,43.2,2.6,ml,,,,0.54,ak,ak20334904,2018-11-08T02:27:10.040Z,"56km NNW of Kodiak Station, Alaska",earthquake,,2,,,automatic,ak,ak
2018-11-08T00:06:50.987Z,63.9487,-148.6857,13.3,1.8,ml,,,,0.67,ak,ak20334900,2018-11-08T00:10:57.140Z,"17km NE of Healy, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-11-08T00:02:24.660Z,19.2296667,-155.4151667,32.72,1.75,md,46,138,0.01842,0.12,hv,hv70678336,2018-11-08T01:28:19.030Z,"7km ENE of Pahala, Hawaii",earthquake,0.52,0.69,0.107,20,reviewed,hv,hv
2018-11-08T00:01:51.430Z,33.5385,-116.4438333,8.88,0.54,ml,14,118,0.02136,0.1,ci,ci38353648,2018-11-08T00:46:39.724Z,"19km SW of La Quinta, CA",earthquake,0.32,0.66,0.14,10,reviewed,ci,ci
2018-11-07T23:55:46.609Z,38.5788,-118.562,6.4,0.8,ml,4,259.86,0.058,0.2148,nn,nn00664675,2018-11-08T02:05:26.490Z,"8km NE of Hawthorne, Nevada",earthquake,,14.3,0,1,reviewed,nn,nn
2018-11-07T23:50:20.670Z,18.6423,-65.0591,22,2.46,md,4,340,0.9348,0.29,pr,pr2018311006,2018-11-08T05:18:34.110Z,"35km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.68,24.91,0.31,4,reviewed,pr,pr
2018-11-07T23:41:57.560Z,17.8886,-66.9448,14,2.01,md,4,246,0.1281,0.24,pr,pr2018311007,2018-11-08T05:19:24.302Z,"9km SSW of Guanica, Puerto Rico",earthquake,1.61,2.36,0.09,3,reviewed,pr,pr
2018-11-07T23:41:48.880Z,34.6366667,-117.3026667,-0.92,1.05,ml,24,50,0.07902,0.23,ci,ci38353616,2018-11-08T00:44:53.717Z,"11km N of Victorville, CA",quarry blast,0.45,31.61,0.112,15,reviewed,ci,ci
2018-11-07T23:37:16.720Z,33.2293333,-116.7361667,11.48,1.07,ml,41,62,0.02006,0.15,ci,ci38353608,2018-11-08T00:40:51.691Z,"3km ESE of Lake Henshaw, CA",earthquake,0.18,0.49,0.137,22,reviewed,ci,ci
2018-11-07T23:14:44.550Z,37.6271667,-118.8255,8.62,0.73,md,15,112,0.008903,0.04,nc,nc73108196,2018-11-07T23:51:03.478Z,"14km E of Mammoth Lakes, CA",earthquake,0.77,0.43,0.268,13,reviewed,nc,nc
2018-11-07T23:11:53.260Z,56.1373,-149.3119,19.99,3.7,ml,,154,2.448,0.58,us,us1000hp1x,2018-11-08T00:35:19.010Z,"263km SE of Kodiak, Alaska",earthquake,9.8,8.5,0.067,29,reviewed,us,us
2018-11-07T23:11:29.694Z,62.6817,-152.0096,0,1.3,ml,,,,0.83,ak,ak20334889,2018-11-07T23:14:12.843Z,"105km WNW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-07T23:09:00.640Z,37.4558333,-121.8156667,6.07,1.01,md,13,91,0.01335,0.08,nc,nc73108191,2018-11-07T23:34:30.019Z,"9km ENE of Milpitas, CA",earthquake,0.31,0.32,0.097,13,reviewed,nc,nc
2018-11-07T22:48:39.740Z,34.1786667,-117.3598333,13.01,0.72,ml,15,73,0.06469,0.11,ci,ci38353568,2018-11-08T00:32:08.056Z,"3km NNW of Muscoy, CA",earthquake,0.35,0.6,0.078,3,reviewed,ci,ci
2018-11-07T22:17:05.995Z,38.6973,-117.0844,0,1.4,ml,5,194.01,0.632,0.2294,nn,nn00664652,2018-11-08T02:05:02.504Z,"71km N of Tonopah, Nevada",explosion,,0,0.06,2,reviewed,nn,nn
2018-11-07T22:15:47.928Z,38.3583,-115.8304,2.8,1.4,ml,6,152.66,0.193,0.0099,nn,nn00664648,2018-11-08T02:05:00.487Z,"50km ENE of Warm Springs, Nevada",earthquake,,7,0,1,reviewed,nn,nn
2018-11-07T21:29:41.232Z,61.8519,-157.685,10,1.6,ml,,,,0.46,ak,ak20334883,2018-11-07T21:37:29.313Z,"115km ESE of Holy Cross, Alaska",earthquake,,0.4,,,automatic,ak,ak
